state,zone,lon,lat
ME,020,-70.2045,44.1654
ME,010,-69.4281,45.5609
ME,004,-69.2400,46.1825
ME,003,-69.9716,46.2366
ME,002,-68.2182,46.7264
ME,006,-68.1173,46.0031
ME,001,-69.1077,46.9480
ME,012,-70.6709,44.2631
ME,011,-68.4069,45.3901
ME,005,-68.6456,45.9454
ME,018,-70.7784,43.5590
ME,019,-70.5103,43.8955
ME,008,-70.5249,45.0717
ME,032,-67.7420,45.4767
ME,013,-70.1818,44.6571
ME,031,-69.1568,45.2475
ME,015,-68.8441,44.9362
ME,030,-67.5411,44.6796
ME,022,-69.1709,44.5406
ME,029,-68.3928,44.4349
ME,027,-69.1730,44.1500
ME,016,-68.3239,44.8510
ME,014,-69.6632,44.8398
ME,025,-69.8613,43.9705
ME,026,-69.5431,44.0752
ME,009,-70.0680,45.4800
ME,023,-70.6005,43.3339
ME,021,-69.7672,44.4093
ME,017,-67.6338,45.0094
ME,028,-69.0512,44.3490
ME,024,-70.1860,43.7448
ME,007,-70.8789,44.8431
NH,007,-72.2223,43.3612
NH,009,-71.4233,43.5188
NH,011,-72.2512,42.9193
NH,010,-71.0293,43.2975
NH,006,-71.2178,43.7506
NH,012,-71.4574,42.8448
NH,013,-71.1814,42.9853
NH,005,-71.9182,43.7209
NH,014,-70.8291,43.0004
NH,015,-71.7929,42.9363
NH,008,-71.6802,43.2977
NH,001,-71.2832,44.9761
NH,004,-71.1778,44.0780
NH,003,-71.7514,44.0964
NH,002,-71.3228,44.4715
VT,012,-72.5855,43.5798
VT,013,-73.0929,43.0355
VT,011,-73.1398,43.5856
VT,019,-72.8735,43.5713
VT,014,-72.7867,43.0015
VT,015,-72.5583,42.9675
VT,010,-72.3769,44.0056
VT,007,-72.1022,44.4647
VT,006,-72.6414,44.6057
VT,008,-72.6149,44.2734
VT,004,-71.7364,44.7281
VT,017,-72.9287,44.4237
VT,005,-73.1562,44.4793
VT,009,-73.2394,44.0215
VT,018,-72.9674,44.0466
VT,016,-72.7255,44.8662
VT,002,-73.0340,44.8517
VT,003,-72.2438,44.8288
VT,001,-73.2948,44.7968
NY,015,-77.1055,42.6335
NY,021,-78.0276,42.2574
NY,056,-75.8196,42.1602
NY,020,-78.6789,42.2486
NY,024,-76.7600,42.1413
NY,045,-75.6115,42.4936
NY,044,-76.0702,42.5950
NY,057,-74.9665,42.1982
NY,011,-78.1936,43.0010
NY,033,-74.4973,43.6611
NY,008,-75.4488,43.7847
NY,013,-77.7754,42.7281
NY,036,-75.6697,42.9129
NY,040,-74.4397,42.9023
NY,018,-76.1946,43.0058
NY,014,-77.2998,42.8529
NY,046,-75.0326,42.6338
NY,047,-74.4421,42.5882
NY,023,-76.8752,42.3938
NY,016,-76.8237,42.7810
NY,022,-77.3838,42.2678
NY,062,-74.7681,41.7164
NY,055,-76.3063,42.1703
NY,025,-76.4737,42.4520
NY,012,-78.2245,42.7023
NY,084,-73.4360,43.1564
NY,043,-73.4239,43.5196
NY,042,-73.8646,43.5976
NY,083,-73.7376,43.3468
NY,039,-74.4213,43.0404
NY,082,-74.4228,43.1615
NY,017,-76.5302,42.8012
NY,009,-75.4692,43.3813
NY,037,-75.4068,43.1200
NY,032,-74.9693,43.7111
NY,038,-74.9549,43.0923
NY,048,-74.1561,42.7900
NY,049,-73.9758,42.8421
NY,051,-74.1250,42.5646
NY,052,-73.8796,42.6223
NY,059,-73.9147,42.3120
